p,DAGFS,LRMFS,GRRO,SRFS,SCNMF,LSMFS,LRDG,RFSFS
0.0500,0.462029,0.488925,0.464281,0.465845,0.585670,0.588441,0.586024,0.464902
0.1000,0.449348,0.481265,0.463685,0.459463,0.571049,0.579311,0.571764,0.457605
0.1500,0.450928,0.481454,0.462998,0.458640,0.565170,0.567600,0.563929,0.458825
0.2000,0.454025,0.479565,0.464160,0.463912,0.559936,0.559737,0.549300,0.462712
0.2500,0.456955,0.478733,0.468426,0.465305,0.557460,0.556027,0.545483,0.466963
0.3000,0.460110,0.475638,0.472003,0.467971,0.554060,0.545920,0.536829,0.468867
0.3500,0.463726,0.478324,0.473898,0.470936,0.552876,0.540266,0.532368,0.470489
0.4000,0.467916,0.477746,0.475279,0.473171,0.547721,0.534899,0.525738,0.472137
0.4500,0.471875,0.478588,0.477042,0.477061,0.547771,0.525805,0.520080,0.474325
0.5000,0.471695,0.478737,0.476741,0.477554,0.549618,0.522107,0.515774,0.476114
